Geography,Population Estimate (as of July 1) - 2018
"Unionville town, North Carolina",7041
"Enoch city, Utah",7039
"Milltown borough, New Jersey",7034
"Elkins city, West Virginia",7026
"St. Augustine Beach city, Florida",7026
"Wildwood city, Florida",7024
"Mount Carmel city, Illinois",7020
"Archbald borough, Pennsylvania",7019
"Fayetteville city, Tennessee",7017
"Marshall city, Michigan",7005
"La Junta city, Colorado",6998
"Catoosa city, Oklahoma",6995
"Decatur city, Texas",6989
"Shamokin city, Pennsylvania",6984
"Brier city, Washington",6978
"Oak Ridge town, North Carolina",6977
"Live Oak city, Florida",6974
"Stratford borough, New Jersey",6967
"Spring Hill city, Kansas",6967
"Eagle town, Colorado",6961
"Huntingdon borough, Pennsylvania",6959
"University Park village, Illinois",6958
"Great Neck Plaza village, New York",6958
"Delphos city, Ohio",6950
"Heber Springs city, Arkansas",6949
"Parkville city, Missouri",6949
"Treasure Island city, Florida",6947
"Savannah city, Tennessee",6946
"Madras city, Oregon",6944
"Sturgis city, South Dakota",6943
"Lochbuie town, Colorado",6938
"Black Jack city, Missouri",6935
"Commerce city, Georgia",6932
"Marble Falls city, Texas",6932
"Perry city, Florida",6928
"Clinton city, Illinois",6927
"Ocean City town, Maryland",6927
"Spring Lake Park city, Minnesota",6926
"Benton city, Illinois",6913
"Selma town, North Carolina",6913
"Pelham village, New York",6907
"Emmett city, Idaho",6903
"Huron city, Ohio",6893
"Mountainside borough, New Jersey",6892
"Dahlonega city, Georgia",6884
"Carbondale town, Colorado",6879
"King city, North Carolina",6877
"Noble city, Oklahoma",6874
"Amory city, Mississippi",6871
"Milford city, Ohio",6860
"Greenbrier town, Tennessee",6839
"Idabel city, Oklahoma",6838
"Robertsdale city, Alabama",6838
"Kosciusko city, Mississippi",6837
"Youngtown town, Arizona",6836
"Leitchfield city, Kentucky",6831
"Nappanee city, Indiana",6831
"Kirtland city, Ohio",6827
"Loomis town, California",6823
"Taneytown city, Maryland",6816
"St. Albans city, Vermont",6813
"Eldridge city, Iowa",6813
"Fircrest city, Washington",6810
"Cortland city, Ohio",6809
"Valley Park city, Missouri",6808
"Crescent City city, California",6805
"Kimberly village, Wisconsin",6803
"Newport city, Tennessee",6801
"Seaside city, Oregon",6795
"Taylor Mill city, Kentucky",6792
"Allendale borough, New Jersey",6792
"Franklin city, Louisiana",6786
"Union city, Ohio",6783
"Millersville city, Tennessee",6781
"Warwick village, New York",6778
"Rumson borough, New Jersey",6776
"Huntertown town, Indiana",6772
"Tallulah city, Louisiana",6768
"Laurel city, Montana",6766
"Bee Cave city, Texas",6765
"Osceola city, Arkansas",6764
"Lovejoy city, Georgia",6760
"Roeland Park city, Kansas",6758
"Litchfield city, Illinois",6753
"Thurmont town, Maryland",6752
"Nevada city, Iowa",6751
"Fowler city, California",6751
"Scottsburg city, Indiana",6750
"Bayville village, New York",6744
"Milton borough, Pennsylvania",6743
"Linwood city, New Jersey",6740
"La Follette city, Tennessee",6737
"Pembroke Park town, Florida",6730
"Demopolis city, Alabama",6724
"DeFuniak Springs city, Florida",6719
"Gulf Breeze city, Florida",6716
"Belfast city, Maine",6714
"North Vernon city, Indiana",6712
"Barnesville city, Georgia",6711
"Tamaqua borough, Pennsylvania",6705
"Macclenny city, Florida",6705
"Lincoln city, Alabama",6704
"Vandalia city, Illinois",6703
"Torrington city, Wyoming",6701
"Lake Hallie village, Wisconsin",6697
"Harrisville city, Utah",6696
"Walden village, New York",6695
"Lacy-Lakeview city, Texas",6693
"Barrington borough, New Jersey",6683
"Batesville city, Indiana",6683
"Clifton Heights borough, Pennsylvania",6681
"Lauderdale-by-the-Sea town, Florida",6680
"Church Hill city, Tennessee",6679
"Holtville city, California",6678
"Sunnyvale town, Texas",6678
"Ellettsville town, Indiana",6676
"Montevallo city, Alabama",6674
"Winthrop Harbor village, Illinois",6673
"Blackwell city, Oklahoma",6660
"Normandy Park city, Washington",6660
"North Syracuse village, New York",6658
"Cedarhurst village, New York",6658
"Strasburg town, Virginia",6658
"Silsbee city, Texas",6651
"Cherry Hills Village city, Colorado",6650
"Ambridge borough, Pennsylvania",6649
"Manorhaven village, New York",6649
"Tecumseh city, Oklahoma",6647
"Bondurant city, Iowa",6646
"Norwich city, New York",6644
"Morrilton city, Arkansas",6644
"Pocahontas city, Arkansas",6644
"Litchfield city, Minnesota",6643
"Sturtevant village, Wisconsin",6639
"Pikeville city, Kentucky",6638
"Pratt city, Kansas",6630
"Trinity city, North Carolina",6627
"Plaquemine city, Louisiana",6621
"Stickney village, Illinois",6620
"North Caldwell borough, New Jersey",6618
"Folcroft borough, Pennsylvania",6616
"Fox Point village, Wisconsin",6615
"Oneonta city, Alabama",6615
"Gridley city, California",6613
"Eatonton city, Georgia",6608
"Thomson city, Georgia",6606
"Medina city, Minnesota",6601
"Catasauqua borough, Pennsylvania",6598
"Guadalupe town, Arizona",6597
"Martins Ferry city, Ohio",6596
"De Queen city, Arkansas",6595
"Gunnison city, Colorado",6594
"Marvin village, North Carolina",6592
"Bridgeport city, Texas",6590
"Bedford town, Virginia",6585
"Hamilton city, Alabama",6584
"Woodfin town, North Carolina",6582
"Atlantic city, Iowa",6577
"Tuckahoe village, New York",6575
"Anadarko city, Oklahoma",6568
"Clairton city, Pennsylvania",6566
"Lawrence village, New York",6559
"Lake City city, South Carolina",6557
"West View borough, Pennsylvania",6555
"Rittman city, Ohio",6551
"Rossford city, Ohio",6548
"Talent city, Oregon",6541
"Sealy city, Texas",6538
"Hapeville city, Georgia",6537
"Bremen city, Georgia",6537
"Oakmont borough, Pennsylvania",6536
"East Rochester village, New York",6533
"Crockett city, Texas",6532
"Keene city, Texas",6531
"Hillsboro city, Ohio",6527
"Harrisburg city, South Dakota",6526
"Carthage city, Texas",6521
"Hardeeville city, South Carolina",6515
"Geneseo city, Illinois",6514
"Milford village, Michigan",6514
"Willis city, Texas",6508
"Hurricane city, West Virginia",6506
"Irvington village, New York",6498
"Ambler borough, Pennsylvania",6496
"Bethel city, Alaska",6493
"North Riverside village, Illinois",6489
"Avon town, Colorado",6482
"Upper Sandusky city, Ohio",6481
"Plattsmouth city, Nebraska",6480
"Prospect Park borough, Pennsylvania",6477
"Brookings city, Oregon",6465
"Nitro city, West Virginia",6462
"Mount Vernon city, Indiana",6457
"Wharton borough, New Jersey",6457
"Kasson city, Minnesota",6455
"Greenville city, Illinois",6453
"Washington borough, New Jersey",6452
"Cheverly town, Maryland",6449
"Purcell city, Oklahoma",6449
"Cold Spring city, Kentucky",6446
"De Soto city, Kansas",6443
"Aztec city, New Mexico",6442
"Moraine city, Ohio",6442
"Bronxville village, New York",6440
"Monticello village, New York",6439
"Opp city, Alabama",6431
"Ishpeming city, Michigan",6431
"Prairie View city, Texas",6428
"Marion city, South Carolina",6427
"Galax city, Virginia",6423
"Wilmore city, Kentucky",6423
"Mulvane city, Kansas",6416
"Harrah city, Oklahoma",6415
"Lynchburg, Moore County metropolitan government; Tennessee",6411
"Swarthmore borough, Pennsylvania",6401
"Canton village, New York",6397
"Burnet city, Texas",6397
"Clover town, South Carolina",6397
"Horseheads village, New York",6395
"Belpre city, Ohio",6391
"Garrett city, Indiana",6390
"Hampstead town, Maryland",6387
"Eudora city, Kansas",6384
"Islamorada, Village of Islands village; Florida",6383
"Valley City city, North Dakota",6380
"Schuyler city, Nebraska",6377
"Sidney city, Nebraska",6376
"Cumming city, Georgia",6376
"St. John city, Missouri",6374
"Steilacoom town, Washington",6373
"Iowa Park city, Texas",6370
"Dillon city, South Carolina",6367
"Brunswick city, Maryland",6364
"Rockaway borough, New Jersey",6363
"Cynthiana city, Kentucky",6362
"White Oak city, Texas",6361
"De Soto city, Missouri",6359
"Woodland city, Washington",6358
"Gladewater city, Texas",6356
"Carolina Beach town, North Carolina",6354
"Estes Park town, Colorado",6352
"Red Lion borough, Pennsylvania",6343
"Hamlet city, North Carolina",6340
"Pepper Pike city, Ohio",6333
"California borough, Pennsylvania",6325
"Johnsburg village, Illinois",6324
"Pigeon Forge city, Tennessee",6324
"Stone Mountain city, Georgia",6324
"Hampshire village, Illinois",6324
"Waveland city, Mississippi",6322
"Henderson city, Tennessee",6315
"Prosser city, Washington",6313
"Prairie Grove city, Arkansas",6313
"Huntington Woods city, Michigan",6312
"Powell city, Wyoming",6310
"Litchfield Park city, Arizona",6310
"Vine Grove city, Kentucky",6310
"Forest Hills borough, Pennsylvania",6309
"Dayton city, Minnesota",6302
"Abilene city, Kansas",6300
"Rockford city, Michigan",6299
"Corry city, Pennsylvania",6288
"Bellefonte borough, Pennsylvania",6281
"Walkersville town, Maryland",6281
"Walker town, Louisiana",6276
"Jordan city, Minnesota",6276
"Mont Belvieu city, Texas",6276
"Douglas city, Wyoming",6273
"Pahokee city, Florida",6270
"Battlefield city, Missouri",6267
"Solvay village, New York",6266
"Dacula city, Georgia",6255
"Everman city, Texas",6248
"Kermit city, Texas",6246
"Sidney city, Montana",6246
"Jackson city, Ohio",6242
"Blakely borough, Pennsylvania",6240
"Buena Vista city, Virginia",6237
"Boonville city, Indiana",6237
"Lanett city, Alabama",6236
"Fruit Heights city, Utah",6234
"Columbiana city, Ohio",6231
"Louisville city, Mississippi",6227
"Sheridan city, Oregon",6206
"Gun Barrel City city, Texas",6204
"Braidwood city, Illinois",6203
"Fort Meade city, Florida",6203
"Delano city, Minnesota",6203
"Salem city, Indiana",6197
"East Aurora village, New York",6197
"Kennett Square borough, Pennsylvania",6195
"Glenarden city, Maryland",6195
"Basehor city, Kansas",6194
"Carlstadt borough, New Jersey",6191
"Junction City city, Oregon",6182
"Clyde city, Ohio",6174
"Holly village, Michigan",6173
"Bartonville village, Illinois",6172
"Elm Grove village, Wisconsin",6165
"Sheridan city, Colorado",6164
"Union Gap city, Washington",6160
"Tarrant city, Alabama",6158
"Satsuma city, Alabama",6157
"New Whiteland town, Indiana",6153
"St. Helena city, California",6152
"Pauls Valley city, Oklahoma",6150
"Lindale city, Texas",6149
"Harriman city, Tennessee",6145
"Hudson city, New York",6144
"Pontotoc city, Mississippi",6144
"Boiling Spring Lakes city, North Carolina",6137
"High Springs city, Florida",6137
"Twin Lakes village, Wisconsin",6136
"Tequesta village, Florida",6133
"Princeton city, Kentucky",6131
"Edgewood town, New Mexico",6130
"Stewartville city, Minnesota",6125
"Huntingburg city, Indiana",6124
"Los Ranchos de Albuquerque village, New Mexico",6119
"Manistee city, Michigan",6116
"Newberry city, Florida",6115
"Shrewsbury city, Missouri",6114
"Orange Beach city, Alabama",6114
"Thompson's Station town, Tennessee",6114
"Ocean Shores city, Washington",6112
"Nephi city, Utah",6111
"Orange City city, Iowa",6107
"Bridgewater town, Virginia",6106
"South Williamsport borough, Pennsylvania",6103
"Corcoran city, Minnesota",6101
"Ontario city, Ohio",6085
"Portland city, Indiana",6085
"Franklin city, Pennsylvania",6078
"Milan city, Michigan",6076
"Pass Christian city, Mississippi",6075
"Chillicothe city, Illinois",6073
"Independence city, Iowa",6073
"Larchmont village, New York",6069
"Charles Town city, West Virginia",6064
"Munford city, Tennessee",6060
"Mount Healthy city, Ohio",6057
"Watchung borough, New Jersey",6055
"Metropolis city, Illinois",6047
"Rushville city, Indiana",6046
"Childress city, Texas",6045
"Pea Ridge city, Arkansas",6045
"Willard city, Ohio",6044
"Raton city, New Mexico",6035
"Monticello city, Kentucky",6034
"Cherryville city, North Carolina",6026
"East Alton village, Illinois",6025
"Willows city, California",6020
"Alpine city, Texas",6020
"Lakemoor village, Illinois",6014
"Rochester city, Indiana",6000
"Maquoketa city, Iowa",5998
"Hillsboro city, Illinois",5996
"Chesapeake Beach town, Maryland",5990
"North Hills village, New York",5987
"District Heights city, Maryland",5984
"Elsmere town, Delaware",5981
"Lake Alfred city, Florida",5977
"Taos town, New Mexico",5971
"Northville city, Michigan",5970
"Kodiak city, Alaska",5968
"Bay Harbor Islands town, Florida",5964
"Salida city, Colorado",5963
"Littlefield city, Texas",5962
"Margate City city, New Jersey",5959
"Geneva city, Ohio",5955
"Countryside city, Illinois",5954
"Luling city, Texas",5954
"Progreso city, Texas",5953
"Jamesburg borough, New Jersey",5951
"Steelton borough, Pennsylvania",5949
"Old Tappan borough, New Jersey",5946
"Yoakum city, Texas",5944
"Oelwein city, Iowa",5942
"Columbia city, Mississippi",5941
"Roanoke city, Alabama",5933
"International Falls city, Minnesota",5930
"Union city, Kentucky",5930
"Darlington city, South Carolina",5928
"Port Clinton city, Ohio",5928
"Taylor borough, Pennsylvania",5926
"Selinsgrove borough, Pennsylvania",5926
"Elburn village, Illinois",5926
"Lake Mills city, Wisconsin",5923
"Morris Plains borough, New Jersey",5912
"Colusa city, California",5911
"Slaton city, Texas",5904
"St. Martinville city, Louisiana",5903
"Somerset borough, Pennsylvania",5901
"Isanti city, Minnesota",5901
"Waupaca city, Wisconsin",5896
"Richmond city, Michigan",5891
"Granville village, Ohio",5890
"The Village of Indian Hill city, Ohio",5887
"McKees Rocks borough, Pennsylvania",5885
"Brookville city, Ohio",5885
"Clearfield borough, Pennsylvania",5882
"Paulsboro borough, New Jersey",5882
"Norwood borough, Pennsylvania",5882
"Wesley Hills village, New York",5882
"Grafton village, Ohio",5878
"Glendale city, Missouri",5878
"Mount Arlington borough, New Jersey",5877
"Solvang city, California",5876
"Edna city, Texas",5874
"Windcrest city, Texas",5874
"Sunbury village, Ohio",5874
"Pevely city, Missouri",5873
"Mascotte city, Florida",5873
"Sweetwater city, Tennessee",5868
"Carterville city, Illinois",5866
"Truth or Consequences city, New Mexico",5865
"Woodcliff Lake borough, New Jersey",5862
"Prospect Park borough, New Jersey",5859
"Snowflake town, Arizona",5858
"Hellertown borough, Pennsylvania",5857
"Gustine city, California",5855
"Erwin town, Tennessee",5853
"Posen village, Illinois",5851
"Roseland borough, New Jersey",5851
"Monroeville city, Alabama",5850
"Winfield town, Indiana",5849
"Manasquan borough, New Jersey",5846
"Alma city, Arkansas",5844
"Patterson city, Louisiana",5839
"Villa Park city, California",5839
"Rensselaer city, Indiana",5837
"St. James town, North Carolina",5837
"Albion village, New York",5831
"Norwood borough, New Jersey",5831
"Cumberland town, Indiana",5830
"Zimmerman city, Minnesota",5829
"Sansom Park city, Texas",5828
"Dacono city, Colorado",5826
"Kingston city, Tennessee",5825
"Palmview city, Texas",5825
"St. Robert city, Missouri",5822
"Fair Haven borough, New Jersey",5820
"Lewistown city, Montana",5818
"Clarion borough, Pennsylvania",5815
"Little Silver borough, New Jersey",5813
"Homer city, Alaska",5810
"Loudon town, Tennessee",5809
"North Manchester town, Indiana",5805
"Mount Zion village, Illinois",5805
"Dickson City borough, Pennsylvania",5804
"Hilton village, New York",5804
"Trenton city, Missouri",5803
"Surfside town, Florida",5802
"Attalla city, Alabama",5799
"Plymouth borough, Pennsylvania",5798
"Greenwood city, Missouri",5781
"Peoria Heights village, Illinois",5778
"Moosic borough, Pennsylvania",5777
"Bellevue city, Kentucky",5772
"Rupert city, Idaho",5769
"Hartford City city, Indiana",5766
"Crafton borough, Pennsylvania",5763
"Cave Creek town, Arizona",5760
"Punxsutawney borough, Pennsylvania",5758
"Washingtonville village, New York",5758
"Gas City city, Indiana",5757
"Sylvester city, Georgia",5756
"Ulysses city, Kansas",5756
"Central City city, Kentucky",5754
"Fellsmere city, Florida",5754
"Oceanport borough, New Jersey",5751
"Du Quoin city, Illinois",5748
"Belding city, Michigan",5747
"Chickasaw city, Alabama",5745
"Wilmington city, Illinois",5742
"Princeton city, West Virginia",5741
"Petoskey city, Michigan",5738
"Fort Wright city, Kentucky",5737
"Dowagiac city, Michigan",5735
"Okeechobee city, Florida",5731
"West Bountiful city, Utah",5731
"Lewisburg borough, Pennsylvania",5730
"Douglass Hills city, Kentucky",5730
"Hutchins city, Texas",5729
"New Brighton borough, Pennsylvania",5724
"Nazareth borough, Pennsylvania",5720
"Nolanville city, Texas",5715
"Leesville city, Louisiana",5713
"Spring Grove village, Illinois",5709
"Hollidaysburg borough, Pennsylvania",5708
"Lebanon city, Kentucky",5698
"Webster village, New York",5698
"South Tucson city, Arizona",5697
"Estherville city, Iowa",5686
"Warrenton city, Oregon",5685
"Medina village, New York",5677
"Sharon Hill borough, Pennsylvania",5675
"Pontoon Beach village, Illinois",5672
"Warren city, Arkansas",5671
"Paola city, Kansas",5670
"Willow Springs village, Illinois",5668
"Media borough, Pennsylvania",5668
"Prairie du Chien city, Wisconsin",5665
"Asbury city, Iowa",5665
"Deer Park city, Ohio",5663
"Gardiner city, Maine",5660
"Anthony town, Texas",5655
"Rockdale city, Texas",5647
"Zebulon town, North Carolina",5646
"Groveport city, Ohio",5645
"Marlin city, Texas",5638
"Westville town, Indiana",5635
"Marion town, Virginia",5634
"Richmond city, Missouri",5634
"Bowling Green city, Missouri",5624
"Tea city, South Dakota",5624
"Wayne city, Nebraska",5622
"Edgerton city, Wisconsin",5620
"Cheraw town, South Carolina",5619
"Malone village, New York",5617
"Lake Bluff village, Illinois",5617
"Falcon Heights city, Minnesota",5617
"Milton city, Wisconsin",5613
"Forest city, Mississippi",5608
"Belle Fourche city, South Dakota",5602
"Exeter borough, Pennsylvania",5592
"Belmar borough, New Jersey",5587
"Rusk city, Texas",5580
"Volo village, Illinois",5580
"New Carlisle city, Ohio",5578
"Shippensburg borough, Pennsylvania",5578
"Willard city, Missouri",5578
"Monticello city, Illinois",5575
"Columbia Falls city, Montana",5575
"Mount Carmel borough, Pennsylvania",5573
"Oxford borough, Pennsylvania",5572
"Waterford village, Wisconsin",5571
"Willow Park city, Texas",5569
"Weldon Spring city, Missouri",5567
"Connell city, Washington",5566
"Zeeland city, Michigan",5564
"Pelham Manor village, New York",5563
"Henryetta city, Oklahoma",5561
"Edinboro borough, Pennsylvania",5560
"Ada village, Ohio",5557
"Greenbrier city, Arkansas",5549
"Stroudsburg borough, Pennsylvania",5548
"Duquesne city, Pennsylvania",5548
"Holdenville city, Oklahoma",5547
"Wappingers Falls village, New York",5545
"Carlinville city, Illinois",5543
"Charleston city, Missouri",5534
"Mena city, Arkansas",5534
"Nashville town, North Carolina",5531
"Cameron city, Texas",5529
"New Castle city, Delaware",5529
"Eaton town, Colorado",5529
"Bessemer City city, North Carolina",5527
"Caruthersville city, Missouri",5525
"Tonganoxie city, Kansas",5524
"Byron city, Minnesota",5523
"Dos Palos city, California",5520
"Berryville city, Arkansas",5519
"Waterville city, Ohio",5517
"Atlanta city, Texas",5515
"Swartz Creek city, Michigan",5511
"Woodside town, California",5510
"Wellston city, Ohio",5508
"Anamosa city, Iowa",5507
"Dayton city, Kentucky",5507
"Coraopolis borough, Pennsylvania",5505
"Germantown city, Ohio",5504
"Beardstown city, Illinois",5502
"Preston city, Idaho",5501
"Winston city, Oregon",5499
"Buckhannon city, West Virginia",5493
"Creswell city, Oregon",5489
"Brookshire city, Texas",5489
"Chadron city, Nebraska",5488
"Breckenridge city, Texas",5487
"Union Beach borough, New Jersey",5485
"Bath village, New York",5483
"McKenzie city, Tennessee",5480
"Centerville city, Iowa",5478
"Salamanca city, New York",5477
"Slinger village, Wisconsin",5477
"New Holland borough, Pennsylvania",5475
"Chelsea city, Michigan",5474
"Somerdale borough, New Jersey",5473
"Sandersville city, Georgia",5472
"Carrizo Springs city, Texas",5470
"Post city, Texas",5469
"Walterboro city, South Carolina",5468
"Glencoe city, Minnesota",5467
"Robbins village, Illinois",5464
"Addis town, Louisiana",5462
"Monaca borough, Pennsylvania",5461
"Covington city, Virginia",5460
"Stokesdale town, North Carolina",5458
"Rockwood city, Tennessee",5452
"Canal Fulton city, Ohio",5452
"Vail town, Colorado",5450
"Cottleville city, Missouri",5446
"Waynesboro city, Georgia",5441
"Indian Wells city, California",5440
"Jonesborough town, Tennessee",5439
"Blaine city, Washington",5436
"Pinckneyville city, Illinois",5429
"Pana city, Illinois",5428
"Algona city, Iowa",5428
"Smiths Station city, Alabama",5427
"Wake Village city, Texas",5425
"Terrell Hills city, Texas",5425
"Sayre borough, Pennsylvania",5424
"Northfield village, Illinois",5422
"Northwood city, Ohio",5420
"Berlin city, Wisconsin",5416
"New Hempstead village, New York",5415
"Starke city, Florida",5411
"Marksville city, Louisiana",5405
"Holdrege city, Nebraska",5405
"Sinton city, Texas",5401
"Frankenmuth city, Michigan",5401
"Carlisle village, Ohio",5399
"St. Paul Park city, Minnesota",5395
"Chester city, South Carolina",5393
"Fruitland city, Idaho",5388
"Vinita city, Oklahoma",5387
"Batesburg-Leesville town, South Carolina",5385
"Englewood Cliffs borough, New Jersey",5385
"Brush city, Colorado",5384
"Weiser city, Idaho",5381
"Kaser village, New York",5380
"Evansville city, Wisconsin",5378
"Davenport city, Florida",5378
"Clarinda city, Iowa",5376
"Greenville borough, Pennsylvania",5375
"Coal City village, Illinois",5368
"Central town, South Carolina",5359
"Macon city, Missouri",5355
"La Habra Heights city, California",5353
"Morris city, Minnesota",5351
"Goshen village, New York",5350
"Manitou Springs city, Colorado",5346
"Palmerton borough, Pennsylvania",5344
"Edgewater city, Colorado",5342
"Sunset city, Utah",5341
"Whiteville city, North Carolina",5340
"Fairport village, New York",5336
"Red Oak city, Iowa",5333
"Shillington borough, Pennsylvania",5333
"Lehighton borough, Pennsylvania",5329
"Uhrichsville city, Ohio",5327
"Williams city, California",5324
"Peculiar city, Missouri",5323
"Calistoga city, California",5322
"Moab city, Utah",5322
"Winterset city, Iowa",5318
"Colby city, Kansas",5317
"Glenwood city, Iowa",5316
"Hightstown borough, New Jersey",5315
"Iola city, Kansas",5312
"Tillamook city, Oregon",5311
"Brady city, Texas",5309
"St. Clair city, Michigan",5306
"Mount Carmel town, Tennessee",5305
"Adel city, Georgia",5298
"Mocksville town, North Carolina",5291
"Fruitland city, Maryland",5289
"North Oaks city, Minnesota",5289
"Wadesboro town, North Carolina",5287
"Kings Point village, New York",5287
"Ward city, Arkansas",5286
"Eureka city, Illinois",5282
"Williamsburg city, Kentucky",5281
"Big Bear Lake city, California",5281
"Center city, Texas",5278
"Ballston Spa village, New York",5276
"Fox Chapel borough, Pennsylvania",5274
"Williamston town, North Carolina",5273
"Highwood city, Illinois",5272
"Rothschild village, Wisconsin",5266
"Richlands town, Virginia",5265
"Aberdeen city, Mississippi",5265
"Ripley city, Mississippi",5264
"Monticello city, Indiana",5260
"Midway city, Utah",5257
"Semmes city, Alabama",5254
"Travelers Rest city, South Carolina",5253
"Angier town, North Carolina",5253
"Diboll city, Texas",5247
"Woodstock town, Virginia",5245
"Saranac Lake village, New York",5242
"Poolesville town, Maryland",5242
"Bulverde city, Texas",5240
"Titusville city, Pennsylvania",5237
"Bangor borough, Pennsylvania",5237
"Williamsville village, New York",5235
"Dumfries town, Virginia",5234
"Jeanerette city, Louisiana",5232
"Waynesville city, Missouri",5226
"LaBelle city, Florida",5226
"Elmsford village, New York",5223
"Big Stone Gap town, Virginia",5218
"Lafayette city, Tennessee",5217
"Eaton Rapids city, Michigan",5216
"Wolfforth city, Texas",5214
"Linton city, Indiana",5210
"Bisbee city, Arizona",5209
"McGregor city, Texas",5209
"Genoa city, Illinois",5207
"Springfield city, Michigan",5203
"Odessa city, Missouri",5202
"Spring Valley city, Illinois",5199
"Savannah city, Missouri",5197
"Valparaiso city, Florida",5195
"Tyrone borough, Pennsylvania",5194
"Sultan city, Washington",5194
"Osceola city, Iowa",5193
"Hawkinsville city, Georgia",5193
"Brewton city, Alabama",5189
"Byron city, Georgia",5188
"Sawmills town, North Carolina",5186
"South Bay city, Florida",5185
"Nelsonville city, Ohio",5183
"Ranson corporation, West Virginia",5182
"Hollywood town, South Carolina",5180
"Chardon city, Ohio",5179
"Turtle Creek borough, Pennsylvania",5176
"Eastman city, Georgia",5172
"Grosse Pointe city, Michigan",5170
"Glendale city, Colorado",5170
"DeWitt city, Iowa",5169
"Grambling city, Louisiana",5168
"Chisago City city, Minnesota",5165
"Birdsboro borough, Pennsylvania",5164
"Walkertown town, North Carolina",5150
"Utica city, Michigan",5143
"New Martinsville city, West Virginia",5141
"Schuylkill Haven borough, Pennsylvania",5138
"Thatcher town, Arizona",5138
"Creve Coeur village, Illinois",5137
"Glencoe city, Alabama",5136
"Gilmer city, Texas",5134
"Lake City city, Minnesota",5131
"Livingston town, Texas",5128
"Colona city, Illinois",5125
"Monee village, Illinois",5122
"Emporia city, Virginia",5121
"Dunlap city, Tennessee",5120
"South Pasadena city, Florida",5117
"Ayden town, North Carolina",5116
"Collegeville borough, Pennsylvania",5113
"Granite Shoals city, Texas",5111
"Sheldon city, Iowa",5110
"Buellton city, California",5109
"Hugo city, Oklahoma",5107
"Tipton city, Indiana",5104
"Obetz village, Ohio",5104
"Montevideo city, Minnesota",5102
"Poplar Grove village, Illinois",5099
"Giddings city, Texas",5095
"Perry city, Utah",5094
"Vinton city, Iowa",5093
"Holbrook city, Arizona",5093
"Glennville city, Georgia",5093
"Kutztown borough, Pennsylvania",5089
"Mechanicville city, New York",5088
"North Fond du Lac village, Wisconsin",5088
"Daleville city, Alabama",5086
"Bristol village, Wisconsin",5086
"Jackson city, Georgia",5083
"Lone Grove city, Oklahoma",5081
"Flagler Beach city, Florida",5081
"Columbus city, Wisconsin",5080
"Hoopeston city, Illinois",5079
"Erwin town, North Carolina",5078
"Munroe Falls city, Ohio",5077
"Gretna city, Nebraska",5076
"Worland city, Wyoming",5075
"Berkeley village, Illinois",5073
"White Hall city, Arkansas",5070
"Spirit Lake city, Iowa",5070
"Midfield city, Alabama",5067
"Johnstown village, Ohio",5065
"Severance town, Colorado",5064
"Walnut Ridge city, Arkansas",5062
"Bowie city, Texas",5059
"Kenneth City town, Florida",5059
"West Salem village, Wisconsin",5057
"Port Isabel city, Texas",5055
"Chestertown town, Maryland",5054
"Veneta city, Oregon",5054
"Orange town, Virginia",5049
"Wapato city, Washington",5048
"Sea Cliff village, New York",5047
"Olyphant borough, Pennsylvania",5046
"Abbeville city, South Carolina",5043
"Muleshoe city, Texas",5042
"Grafton city, West Virginia",5040
"Crestwood city, Kentucky",5039
"Iowa Falls city, Iowa",5036
"Allegan city, Michigan",5034
"Rainsville city, Alabama",5034
"Milan village, Illinois",5031
"Margaret town, Alabama",5026
"Alva city, Oklahoma",5024
"New Castle town, Colorado",5024
"Belleview city, Florida",5022
"Breckenridge town, Colorado",5020
"Saltillo city, Mississippi",5019
"Sulphur city, Oklahoma",5018
"Polson city, Montana",5018
"Archer Lodge town, North Carolina",5014
"St. Clairsville city, Ohio",5012
"Amelia village, Ohio",5009
"Lawrenceburg city, Indiana",5005
"Wildwood city, New Jersey",4998
"La Crescent city, Minnesota",4998
"Alexandria city, Indiana",4997
"Hazard city, Kentucky",4997
"South Barrington village, Illinois",4993
"Bridgeville borough, Pennsylvania",4990
"Primera town, Texas",4989
"Krum city, Texas",4988
"Keyser city, West Virginia",4985
"Redwood Falls city, Minnesota",4985
"Manchester city, Iowa",4982
"Needles city, California",4982
"Fairfield city, Illinois",4981
"Oak Point city, Texas",4974
"Barling city, Arkansas",4973
"Staunton city, Illinois",4972
"Kingsford city, Michigan",4970
"Cave Springs city, Arkansas",4970
"Port Allen city, Louisiana",4968
"Platte City city, Missouri",4968
"Centreville city, Illinois",4965
"Sugarcreek borough, Pennsylvania",4965
"Raeford city, North Carolina",4962
"Union Grove village, Wisconsin",4961
"Glendive city, Montana",4960
"Carver city, Minnesota",4960
"Richland Center city, Wisconsin",4959
"Toronto city, Ohio",4959
"Circle Pines city, Minnesota",4958
"Lake Worth city, Texas",4957
"Concordia city, Kansas",4956
"Swoyersville borough, Pennsylvania",4954
"Adel city, Iowa",4954
"Medical Lake city, Washington",4952
"Clementon borough, New Jersey",4945
"Sparta city, Tennessee",4945
"Buckley city, Washington",4944
"Bolivar city, Tennessee",4937
"Ironwood city, Michigan",4936
"Penn Yan village, New York",4936
"Lakeport city, California",4936
"Willits city, California",4935
